topic,question_keywords,answer,split
disease detection+camera+photo,"disease detection, camera, photo, scan leaf, how to detect","To detect a crop disease: open Disease Prediction (or tap 'Take a picture' on the home page), photograph a single affected leaf in good light, and the AI model will show the disease name, confidence, and treatment. It supports Apple, Corn, Grape, Potato, Tomato, Pepper, Peach, Cherry, Strawberry and more. The result and advice are shown and spoken in your language.",train
weather+rain+monsoon,"weather, rain, monsoon, forecast, temperature","Check the Weather section in this app for your exact location's current conditions, 24-hour and 7-day forecast. Plan spraying on calm days (wind < 15 km/h, no rain). Avoid sowing before heavy rain forecasts.",train
crop recommendation+which crop+what to grow,"crop recommendation, which crop, what to grow, best crop","Crop Recommendation: open the Crop Advisor, enter soil Nitrogen, Phosphorus, Potassium and pH (or scan a soil report photo), weather is auto-filled from your location, and the ML model suggests the most profitable crop for your conditions. It supports 22 crops including rice, maize, cotton, banana, mango and pulses.",train
irrigation+water+drip,"irrigation, water, drip, sprinkler",Irrigation tips: Drip irrigation saves 40-60% water and gives 20-30% higher yields — PMKSY gives up to 55% subsidy on drip/sprinkler systems. Irrigate at critical stages: flowering and grain-filling are most important. Avoid waterlogging — most crops need well-drained soil.,train
disease+fungus+blight,"disease, fungus, blight, spot, rot, virus","For plant diseases: 1) Remove and destroy infected parts. 2) Avoid overhead watering. 3) Ensure spacing for airflow. 4) Use copper fungicide (3g/L) for fungal/bacterial issues, Mancozeb (2.5g/L) for blights. 5) Use the Disease Detection camera in this app to identify the exact disease from a photo.",train
wheat,wheat,"Wheat: Rabi crop, sow Nov 1-20, 100 kg seed/ha. Needs 14-25°C, loamy soil, pH 6-7.5. First irrigation at 21 days is critical. Watch for rust diseases.",train
kcc apply+kisan credit card apply+kcc process,"kcc apply, kisan credit card apply, kcc process","KCC application steps: 1) Generate the form from the Loans tab in this app. 2) Take Aadhaar, land records, 2 photos and bank passbook to your nearest bank. 3) Fill the one-page KCC form (banks must issue within 14 days). 4) Limit is set from your crop and acreage — up to Rs 3 lakh at 7% (effectively 4% if repaid on time). No collateral needed up to Rs 1.6 lakh.",train
reminder+alert+notify,"reminder, alert, notify, remind me","You can set reminders in the app: open You tab > Reminders. Add a custom reminder or use presets (spraying, fertilizer, irrigation, harvest) with a date and time. The app will notify you and speak the reminder aloud in your language when it is due.",train
cotton,cotton,"Cotton: Kharif, deep black soil, 21-30°C. Sow at 90x60cm with monsoon. Bollworm is the main pest — use pheromone traps and Bt varieties.",train
agricore+app+about,"agricore, app, about, features, what can you do, system","Agricore is a smart agriculture assistant with: 1. Disease Detection - leaf photo AI diagnosis and treatment. 2. Crop Recommendation - ML suggests best crop from soil NPK, pH, weather. 3. Fertilizer Recommendation. 4. Weather - hourly and 7-day local forecast, spraying conditions. 5. Market - live mandi prices. 6. Community - ask other farmers with photos. 7. Government Schemes and Loans - 14 schemes, 8 loans. 8. Calculators - fertilizer, pesticide, farm profit. 9. Library - crop guides, pests and diseases, tips. 10. Voice assistant in 6 languages. Ask me about any of these!",train
hello+hi+namaste,"hello, hi, namaste, hey, help","Hello! I am AgriBot, your farming assistant. Ask me about: crops, fertilizers, pests & diseases, irrigation, loans, government schemes, market prices, weather, or organic farming. How can I help you today?",train
maize,maize,"Maize: 21-30°C, fertile loam, sow 20 kg/ha at 60x20cm. Never miss irrigation at silking stage. Watch fall armyworm.",train
rice,rice,"Rice: needs 22-32°C, clayey soil holding water, pH 5.5-6.5, 1000-2000mm rain. Transplant 25-30 day seedlings, keep 2-5cm standing water, N in 3 splits. Major diseases: blast, bacterial leaf blight.",train
market+price+mandi,"market, price, mandi, sell, msp","Check the Market tab for live mandi prices in your region. Sell through e-NAM (enam.gov.in) for better price discovery. MSP 2024-25 examples: Paddy ₹2,300/qt, Wheat ₹2,275/qt, Cotton ₹6,620/qt.",train
sugarcane,sugarcane,"Sugarcane: 26-32°C, plant 3-bud setts Jan-Mar, 90cm furrows. Earth up at 90-120 days. Harvest at 12 months for peak sugar.",train
organic+natural+compost,"organic, natural, compost, vermicompost","Organic farming: Use FYM, vermicompost (5 t/ha), green manure (dhaincha/sunhemp), biofertilizers (Rhizobium, Azotobacter, PSB). Neem oil and Trichoderma for pest/disease control. PKVY scheme gives ₹50,000/ha over 3 years for organic clusters.",val
financial+advisory+profit,"financial, advisory, profit, farming calculator, cost","Financial advisory: use the Farming Calculator (Tools section) — choose crop and area to see seed cost, fertilizer cost, total cost, expected yield, revenue and net profit in ₹. Also check the Loans tab in Government Schemes for KCC and other credit options.",val
fertilizer+npk+urea,"fertilizer, npk, urea, dap, nutrient","Fertilizer basics: N (urea) for leaf growth, P (DAP) for roots/flowering, K (MOP) for fruit quality and disease resistance. Always apply based on a soil test. General dose for cereals: 120:60:40 NPK kg/ha. Use the Fertilizer Calculator in this app for crop-specific advice.",val
soil+ph+acidic,"soil, ph, acidic, alkaline, health",Soil health: Test soil every 2-3 years (free via Soil Health Card scheme). Most crops prefer pH 6-7.5. For acidic soil add lime; for alkaline soil add gypsum. Add 5-10 tonnes FYM/compost per hectare yearly to improve organic matter.,test
banana,banana,"Banana: 26-30°C, rich loam, tissue-culture saplings at 1.8x1.8m. Heavy feeder: 300g N, 100g P, 300g K per plant/year. Harvest in 11-12 months.",test
insurance+pmfby+crop insurance,"insurance, pmfby, crop insurance, claim","PMFBY crop insurance: Premium is only 2% (Kharif), 1.5% (Rabi), 5% (horticulture). Covers drought, flood, pests, diseases, post-harvest losses. Enroll through your bank/CSC before the season cutoff. Report crop loss within 72 hours to claim.",test
fertilizer recommendation+fertilizer calculator+how much fertilizer,"fertilizer recommendation, fertilizer calculator, how much fertilizer","Fertilizer Recommendation: open the Fertilizer Guide, choose your crop and enter soil N, P, K values. The app tells you which nutrient is deficient or excessive and exactly what to apply (e.g. urea, DAP, MOP, compost). The advice is shown and spoken in your language.",test
