state,crop,crop_year,yield_t_per_ha,season,split
Tamil Nadu,Cotton,2015,0.58,Kharif,train
Karnataka,Sugarcane,2025,61.7,Rabi,train
Gujarat,Groundnut,2024,1.66,Kharif,train
Maharashtra,Tomato,2015,24.28,Rabi,train
Madhya Pradesh,Jowar,2019,1.05,Kharif,train
Karnataka,Cotton,2019,0.59,Kharif,train
Madhya Pradesh,Potato,2022,19.75,Rabi,train
Punjab,Bajra,2016,1.4,Kharif,train
West Bengal,Jowar,2025,1.08,Kharif,train
Haryana,Sugarcane,2016,83.21,Rabi,train
Madhya Pradesh,Potato,2015,27.16,Rabi,train
Bihar,Soybean,2024,1.29,Kharif,train
Madhya Pradesh,Onion,2019,16.17,Rabi,train
Punjab,Soybean,2015,0.95,Kharif,train
Uttar Pradesh,Jowar,2017,1.12,Kharif,train
Madhya Pradesh,Wheat,2024,3.22,Rabi,train
Maharashtra,Bajra,2020,1.14,Kharif,train
Bihar,Potato,2023,18.46,Rabi,train
Bihar,Banana,2020,33.09,Rabi,train
Bihar,Wheat,2017,3.32,Rabi,train
Gujarat,Groundnut,2025,1.32,Kharif,train
Rajasthan,Soybean,2015,1.24,Kharif,train
Rajasthan,Wheat,2019,3.02,Rabi,train
Karnataka,Mustard,2015,1.37,Rabi,train
Gujarat,Maize,2025,2.69,Kharif,train
Haryana,Soybean,2021,1.22,Kharif,train
Haryana,Jowar,2018,1.18,Kharif,train
West Bengal,Onion,2023,20.33,Rabi,train
Tamil Nadu,Sugarcane,2017,59.22,Rabi,train
Uttar Pradesh,Cotton,2018,0.41,Kharif,train
Haryana,Potato,2015,19.74,Rabi,train
Karnataka,Potato,2024,19.33,Rabi,train
Maharashtra,Cotton,2022,0.54,Kharif,train
Uttar Pradesh,Maize,2015,2.67,Kharif,train
Andhra Pradesh,Soybean,2019,0.93,Kharif,train
Karnataka,Potato,2016,21.41,Rabi,train
West Bengal,Jowar,2021,1.16,Kharif,train
Gujarat,Jowar,2021,1.13,Kharif,train
West Bengal,Soybean,2020,1.08,Kharif,train
Punjab,Potato,2025,22.6,Rabi,train
Rajasthan,Cotton,2023,0.55,Kharif,train
Tamil Nadu,Groundnut,2015,1.18,Kharif,train
Maharashtra,Potato,2017,26.92,Rabi,train
Rajasthan,Cotton,2019,0.42,Kharif,train
Karnataka,Tomato,2016,26.39,Rabi,train
Punjab,Maize,2022,3.3,Kharif,train
Madhya Pradesh,Mustard,2025,1.33,Rabi,train
Uttar Pradesh,Wheat,2024,3.69,Rabi,train
Haryana,Tomato,2023,25.86,Rabi,train
Gujarat,Banana,2021,35.77,Rabi,train
West Bengal,Rice,2015,3.18,Kharif,train
Karnataka,Wheat,2015,3.83,Rabi,train
Karnataka,Gram,2020,1.21,Rabi,train
West Bengal,Wheat,2024,3.93,Rabi,train
Haryana,Mustard,2023,1.14,Rabi,train
Andhra Pradesh,Mustard,2015,1.14,Rabi,train
Gujarat,Sugarcane,2017,77.79,Rabi,train
Uttar Pradesh,Cotton,2020,0.46,Kharif,train
West Bengal,Mustard,2023,1.05,Rabi,train
Tamil Nadu,Wheat,2019,3.94,Rabi,train
Uttar Pradesh,Sugarcane,2015,65.72,Rabi,train
Andhra Pradesh,Groundnut,2016,1.12,Kharif,train
Bihar,Potato,2025,26.88,Rabi,train
Punjab,Bajra,2025,1.24,Kharif,train
Gujarat,Wheat,2018,3.37,Rabi,train
Gujarat,Cotton,2017,0.54,Kharif,train
Rajasthan,Sugarcane,2021,70.74,Rabi,train
West Bengal,Maize,2023,3.6,Kharif,train
Punjab,Gram,2018,1.26,Rabi,train
Maharashtra,Cotton,2025,0.5,Kharif,train
Bihar,Soybean,2022,1.05,Kharif,train
Madhya Pradesh,Bajra,2016,1.17,Kharif,train
West Bengal,Maize,2018,3.31,Kharif,train
Gujarat,Wheat,2017,3.65,Rabi,train
Madhya Pradesh,Mustard,2022,1.17,Rabi,train
Punjab,Soybean,2025,1.13,Kharif,train
Maharashtra,Maize,2016,2.58,Kharif,train
West Bengal,Groundnut,2021,1.58,Kharif,train
Rajasthan,Banana,2017,32.69,Rabi,train
Uttar Pradesh,Sugarcane,2023,82.17,Rabi,train
Maharashtra,Gram,2016,1.1,Rabi,train
Tamil Nadu,Potato,2020,27.51,Rabi,train
Madhya Pradesh,Tomato,2016,20.52,Rabi,train
Bihar,Soybean,2023,1.14,Kharif,train
Tamil Nadu,Bajra,2020,1.51,Kharif,train
Gujarat,Potato,2016,19.33,Rabi,train
Maharashtra,Onion,2019,17.89,Rabi,train
West Bengal,Wheat,2021,3.76,Rabi,train
Tamil Nadu,Cotton,2019,0.46,Kharif,train
Madhya Pradesh,Groundnut,2023,1.15,Kharif,train
Maharashtra,Sugarcane,2019,64.45,Rabi,train
West Bengal,Rice,2022,3.05,Kharif,train
Uttar Pradesh,Onion,2024,20.21,Rabi,train
Rajasthan,Sugarcane,2022,61.2,Rabi,train
Madhya Pradesh,Jowar,2021,0.81,Kharif,train
West Bengal,Mustard,2024,1.41,Rabi,train
Uttar Pradesh,Mustard,2022,1.38,Rabi,train
Rajasthan,Banana,2016,31.37,Rabi,train
Maharashtra,Wheat,2023,4.05,Rabi,train
Karnataka,Bajra,2018,1.29,Kharif,train
Rajasthan,Sugarcane,2023,68.19,Rabi,train
Bihar,Cotton,2018,0.55,Kharif,train
Punjab,Sugarcane,2020,64.06,Rabi,train
Andhra Pradesh,Bajra,2019,1.08,Kharif,train
Uttar Pradesh,Cotton,2019,0.44,Kharif,train
Madhya Pradesh,Wheat,2018,3.53,Rabi,train
Maharashtra,Gram,2018,1.26,Rabi,train
Gujarat,Sugarcane,2015,61.13,Rabi,train
Maharashtra,Groundnut,2015,1.37,Kharif,train
Uttar Pradesh,Soybean,2024,1.21,Kharif,train
Rajasthan,Groundnut,2015,1.59,Kharif,train
Uttar Pradesh,Potato,2023,26.06,Rabi,train
Haryana,Sugarcane,2017,67.08,Rabi,train
Haryana,Groundnut,2018,1.12,Kharif,train
Andhra Pradesh,Tomato,2016,23.68,Rabi,train
Bihar,Wheat,2016,3.98,Rabi,train
Punjab,Maize,2016,2.93,Kharif,train
Madhya Pradesh,Soybean,2015,1.28,Kharif,train
Punjab,Potato,2023,23.87,Rabi,train
Uttar Pradesh,Bajra,2025,1.5,Kharif,train
Haryana,Maize,2016,3.78,Kharif,train
Gujarat,Wheat,2019,3.84,Rabi,train
Gujarat,Bajra,2025,1.26,Kharif,train
Tamil Nadu,Gram,2018,1.27,Rabi,train
Bihar,Groundnut,2015,1.56,Kharif,train
Andhra Pradesh,Banana,2021,33.38,Rabi,train
Tamil Nadu,Mustard,2016,1.16,Rabi,train
Andhra Pradesh,Rice,2019,2.51,Kharif,train
Haryana,Maize,2024,3.64,Kharif,train
Uttar Pradesh,Soybean,2025,1.17,Kharif,train
Maharashtra,Tomato,2021,29.36,Rabi,train
Karnataka,Banana,2022,29.8,Rabi,train
Rajasthan,Cotton,2015,0.47,Kharif,train
Uttar Pradesh,Onion,2019,16.72,Rabi,train
Punjab,Soybean,2016,0.96,Kharif,train
Maharashtra,Jowar,2018,0.97,Kharif,train
Rajasthan,Soybean,2019,1.05,Kharif,train
Andhra Pradesh,Sugarcane,2022,79.74,Rabi,train
Bihar,Maize,2015,3.75,Kharif,train
Tamil Nadu,Sugarcane,2022,71.55,Rabi,train
Madhya Pradesh,Sugarcane,2023,62.2,Rabi,train
Madhya Pradesh,Soybean,2023,0.9,Kharif,train
Maharashtra,Groundnut,2025,1.53,Kharif,train
Haryana,Tomato,2021,22.93,Rabi,train
Gujarat,Mustard,2020,1.36,Rabi,train
Gujarat,Soybean,2023,1.04,Kharif,train
Madhya Pradesh,Cotton,2023,0.48,Kharif,train
West Bengal,Soybean,2018,1.13,Kharif,train
Maharashtra,Groundnut,2016,1.54,Kharif,train
Madhya Pradesh,Sugarcane,2018,61.75,Rabi,train
Punjab,Bajra,2020,1.07,Kharif,train
Karnataka,Groundnut,2018,1.38,Kharif,train
Karnataka,Groundnut,2016,1.35,Kharif,train
Karnataka,Wheat,2020,4.04,Rabi,train
Bihar,Bajra,2025,1.54,Kharif,train
Uttar Pradesh,Mustard,2020,1.3,Rabi,train
West Bengal,Groundnut,2017,1.56,Kharif,train
Andhra Pradesh,Onion,2020,14.22,Rabi,train
Gujarat,Mustard,2021,1.45,Rabi,train
Maharashtra,Jowar,2019,0.97,Kharif,train
Uttar Pradesh,Gram,2024,1.16,Rabi,train
Rajasthan,Soybean,2024,1.1,Kharif,train
Haryana,Tomato,2017,28.72,Rabi,train
Haryana,Rice,2023,3.03,Kharif,train
Gujarat,Jowar,2023,1.11,Kharif,train
Andhra Pradesh,Tomato,2025,27.73,Rabi,train
Uttar Pradesh,Soybean,2015,1.0,Kharif,train
Bihar,Gram,2024,1.2,Rabi,train
West Bengal,Banana,2019,40.13,Rabi,train
Andhra Pradesh,Potato,2021,21.34,Rabi,train
West Bengal,Rice,2024,2.81,Kharif,train
Punjab,Onion,2016,13.75,Rabi,train
Andhra Pradesh,Tomato,2020,28.51,Rabi,train
West Bengal,Banana,2015,28.5,Rabi,train
Punjab,Maize,2025,3.26,Kharif,train
Karnataka,Bajra,2024,1.47,Kharif,train
Haryana,Groundnut,2016,1.37,Kharif,train
Haryana,Gram,2015,1.17,Rabi,train
Rajasthan,Onion,2016,15.88,Rabi,train
Punjab,Jowar,2018,0.82,Kharif,train
Andhra Pradesh,Onion,2016,18.39,Rabi,train
Gujarat,Soybean,2016,1.24,Kharif,train
Rajasthan,Maize,2021,2.83,Kharif,train
Punjab,Banana,2024,33.13,Rabi,train
Haryana,Cotton,2020,0.56,Kharif,train
Andhra Pradesh,Soybean,2020,1.16,Kharif,train
Madhya Pradesh,Cotton,2016,0.48,Kharif,train
Gujarat,Banana,2017,35.43,Rabi,train
West Bengal,Onion,2016,18.95,Rabi,train
Bihar,Jowar,2016,1.15,Kharif,train
Rajasthan,Jowar,2024,1.09,Kharif,train
Karnataka,Groundnut,2019,1.21,Kharif,train
Karnataka,Onion,2016,16.43,Rabi,train
Tamil Nadu,Wheat,2024,4.08,Rabi,train
Gujarat,Cotton,2020,0.48,Kharif,train
Haryana,Sugarcane,2024,81.34,Rabi,train
Rajasthan,Groundnut,2022,1.37,Kharif,train
Karnataka,Rice,2022,3.07,Kharif,train
Rajasthan,Mustard,2024,1.53,Rabi,train
Karnataka,Bajra,2017,1.55,Kharif,train
Punjab,Potato,2019,23.67,Rabi,train
Andhra Pradesh,Maize,2025,2.61,Kharif,train
Rajasthan,Gram,2025,1.13,Rabi,train
Punjab,Tomato,2022,29.93,Rabi,train
Punjab,Banana,2023,31.66,Rabi,train
Haryana,Gram,2016,1.22,Rabi,train
Maharashtra,Potato,2019,26.69,Rabi,train
Maharashtra,Cotton,2021,0.58,Kharif,train
Andhra Pradesh,Onion,2017,17.26,Rabi,train
Maharashtra,Groundnut,2017,1.48,Kharif,train
Karnataka,Gram,2022,1.25,Rabi,train
Punjab,Sugarcane,2016,72.08,Rabi,train
Karnataka,Soybean,2021,0.93,Kharif,train
Tamil Nadu,Rice,2025,3.19,Kharif,train
Andhra Pradesh,Soybean,2024,1.23,Kharif,train
Punjab,Tomato,2025,23.86,Rabi,train
Rajasthan,Onion,2019,16.95,Rabi,train
Gujarat,Onion,2017,18.35,Rabi,train
Madhya Pradesh,Maize,2025,3.2,Kharif,train
Bihar,Rice,2020,2.74,Kharif,train
Uttar Pradesh,Mustard,2021,1.32,Rabi,train
Gujarat,Sugarcane,2025,82.34,Rabi,train
West Bengal,Mustard,2020,1.16,Rabi,train
Punjab,Maize,2023,3.38,Kharif,train
Tamil Nadu,Groundnut,2017,1.25,Kharif,train
Haryana,Gram,2024,0.98,Rabi,train
Maharashtra,Bajra,2021,1.09,Kharif,train
Madhya Pradesh,Jowar,2016,0.8,Kharif,train
Karnataka,Bajra,2023,1.36,Kharif,train
Uttar Pradesh,Banana,2016,31.72,Rabi,train
West Bengal,Maize,2016,2.9,Kharif,train
Bihar,Tomato,2015,26.09,Rabi,train
Uttar Pradesh,Wheat,2016,3.6,Rabi,train
Bihar,Tomato,2021,26.27,Rabi,train
Punjab,Sugarcane,2015,62.83,Rabi,train
Andhra Pradesh,Tomato,2024,24.36,Rabi,train
Haryana,Rice,2018,2.52,Kharif,train
Haryana,Gram,2021,0.94,Rabi,train
Rajasthan,Potato,2023,24.0,Rabi,train
Uttar Pradesh,Potato,2024,24.9,Rabi,train
Rajasthan,Groundnut,2016,1.33,Kharif,train
Maharashtra,Groundnut,2023,1.31,Kharif,train
Rajasthan,Soybean,2020,1.21,Kharif,train
Uttar Pradesh,Maize,2024,2.73,Kharif,train
Maharashtra,Soybean,2017,1.17,Kharif,train
Tamil Nadu,Banana,2015,35.75,Rabi,train
Gujarat,Sugarcane,2021,57.07,Rabi,train
Karnataka,Banana,2021,29.5,Rabi,train
Haryana,Banana,2020,36.73,Rabi,train
Rajasthan,Cotton,2022,0.41,Kharif,train
Haryana,Wheat,2024,3.43,Rabi,train
Gujarat,Jowar,2024,0.86,Kharif,train
Uttar Pradesh,Banana,2025,38.74,Rabi,train
Andhra Pradesh,Gram,2021,1.13,Rabi,train
Maharashtra,Maize,2024,2.83,Kharif,train
Gujarat,Soybean,2015,1.16,Kharif,train
Karnataka,Sugarcane,2015,58.96,Rabi,train
Maharashtra,Maize,2025,3.3,Kharif,train
Rajasthan,Jowar,2020,1.01,Kharif,train
Tamil Nadu,Wheat,2015,2.99,Rabi,train
Rajasthan,Groundnut,2024,1.19,Kharif,train
Gujarat,Maize,2023,2.96,Kharif,train
Karnataka,Jowar,2019,1.13,Kharif,train
Maharashtra,Wheat,2016,3.77,Rabi,train
West Bengal,Groundnut,2022,1.66,Kharif,train
Tamil Nadu,Sugarcane,2024,80.71,Rabi,train
Bihar,Soybean,2025,1.31,Kharif,train
Punjab,Jowar,2017,1.05,Kharif,train
Uttar Pradesh,Wheat,2018,2.93,Rabi,train
Bihar,Sugarcane,2016,70.1,Rabi,train
Bihar,Potato,2017,18.77,Rabi,train
Rajasthan,Onion,2024,15.41,Rabi,train
Rajasthan,Bajra,2017,1.05,Kharif,train
West Bengal,Groundnut,2016,1.27,Kharif,train
Uttar Pradesh,Rice,2016,2.45,Kharif,train
Uttar Pradesh,Sugarcane,2024,58.98,Rabi,train
Haryana,Maize,2022,3.36,Kharif,train
Bihar,Gram,2022,0.99,Rabi,train
Bihar,Rice,2019,2.7,Kharif,train
West Bengal,Sugarcane,2018,74.97,Rabi,train
Haryana,Banana,2018,28.25,Rabi,train
Bihar,Potato,2022,21.16,Rabi,train
Haryana,Soybean,2017,0.93,Kharif,train
Uttar Pradesh,Mustard,2025,1.17,Rabi,train
Punjab,Tomato,2016,29.45,Rabi,train
Karnataka,Groundnut,2025,1.47,Kharif,train
Rajasthan,Rice,2016,2.65,Kharif,train
Andhra Pradesh,Mustard,2021,1.17,Rabi,train
Gujarat,Soybean,2021,0.94,Kharif,train
Gujarat,Potato,2018,23.38,Rabi,train
Bihar,Onion,2018,14.29,Rabi,train
Uttar Pradesh,Groundnut,2023,1.23,Kharif,train
Maharashtra,Cotton,2016,0.5,Kharif,train
Karnataka,Cotton,2018,0.52,Kharif,train
Maharashtra,Rice,2015,2.83,Kharif,train
Bihar,Gram,2016,1.2,Rabi,train
Madhya Pradesh,Potato,2021,27.13,Rabi,train
Gujarat,Banana,2018,38.39,Rabi,train
Karnataka,Gram,2021,0.9,Rabi,train
Rajasthan,Gram,2023,1.26,Rabi,train
Bihar,Onion,2016,16.71,Rabi,train
Bihar,Banana,2018,30.03,Rabi,train
Uttar Pradesh,Groundnut,2024,1.4,Kharif,train
Rajasthan,Bajra,2024,1.06,Kharif,train
Maharashtra,Maize,2017,3.15,Kharif,train
Madhya Pradesh,Rice,2025,2.85,Kharif,train
Tamil Nadu,Soybean,2020,1.06,Kharif,train
Karnataka,Potato,2022,23.44,Rabi,train
Haryana,Groundnut,2023,1.43,Kharif,train
Tamil Nadu,Potato,2022,21.71,Rabi,train
Karnataka,Bajra,2020,1.52,Kharif,train
Haryana,Tomato,2024,22.59,Rabi,train
Madhya Pradesh,Gram,2015,1.05,Rabi,train
West Bengal,Potato,2017,20.54,Rabi,train
Bihar,Maize,2020,3.71,Kharif,train
Tamil Nadu,Onion,2023,13.75,Rabi,train
Tamil Nadu,Soybean,2015,0.95,Kharif,train
Uttar Pradesh,Cotton,2017,0.43,Kharif,train
Tamil Nadu,Rice,2018,2.25,Kharif,train
Gujarat,Soybean,2020,1.12,Kharif,train
Maharashtra,Onion,2015,16.14,Rabi,train
Rajasthan,Maize,2022,3.17,Kharif,train
Karnataka,Cotton,2016,0.44,Kharif,train
Rajasthan,Groundnut,2019,1.45,Kharif,train
Punjab,Tomato,2020,27.01,Rabi,train
Bihar,Wheat,2022,3.69,Rabi,train
Haryana,Groundnut,2021,1.39,Kharif,train
Punjab,Sugarcane,2022,59.31,Rabi,train
Haryana,Cotton,2015,0.53,Kharif,train
Madhya Pradesh,Soybean,2021,1.24,Kharif,train
Maharashtra,Gram,2019,0.98,Rabi,train
Uttar Pradesh,Rice,2017,2.2,Kharif,train
Gujarat,Maize,2017,3.55,Kharif,train
Tamil Nadu,Mustard,2020,1.21,Rabi,train
Uttar Pradesh,Soybean,2019,0.89,Kharif,train
Andhra Pradesh,Jowar,2017,0.89,Kharif,train
Karnataka,Soybean,2016,1.1,Kharif,train
Karnataka,Sugarcane,2019,66.32,Rabi,train
West Bengal,Potato,2022,22.78,Rabi,train
Tamil Nadu,Soybean,2016,0.92,Kharif,train
Bihar,Jowar,2021,1.09,Kharif,train
Uttar Pradesh,Groundnut,2017,1.29,Kharif,train
Andhra Pradesh,Banana,2020,29.42,Rabi,train
Andhra Pradesh,Mustard,2016,1.2,Rabi,train
Rajasthan,Gram,2024,0.94,Rabi,train
Madhya Pradesh,Groundnut,2022,1.36,Kharif,train
Madhya Pradesh,Sugarcane,2015,78.32,Rabi,train
Uttar Pradesh,Tomato,2017,20.54,Rabi,train
Karnataka,Maize,2017,3.4,Kharif,train
Haryana,Maize,2020,2.81,Kharif,train
Tamil Nadu,Bajra,2015,1.38,Kharif,train
Karnataka,Jowar,2021,0.89,Kharif,train
Gujarat,Potato,2015,23.18,Rabi,train
Andhra Pradesh,Onion,2015,15.96,Rabi,train
Tamil Nadu,Onion,2016,17.79,Rabi,train
West Bengal,Wheat,2016,3.64,Rabi,train
Punjab,Gram,2024,0.93,Rabi,train
Punjab,Rice,2017,2.86,Kharif,train
Tamil Nadu,Jowar,2017,1.02,Kharif,train
Rajasthan,Cotton,2018,0.59,Kharif,train
Tamil Nadu,Banana,2017,39.04,Rabi,train
Uttar Pradesh,Rice,2024,2.44,Kharif,train
Maharashtra,Bajra,2024,1.16,Kharif,train
Maharashtra,Banana,2017,31.48,Rabi,train
West Bengal,Banana,2021,29.96,Rabi,train
Haryana,Soybean,2016,1.23,Kharif,train
West Bengal,Bajra,2021,1.39,Kharif,train
Madhya Pradesh,Sugarcane,2017,70.14,Rabi,train
Andhra Pradesh,Cotton,2020,0.52,Kharif,train
Haryana,Soybean,2022,1.1,Kharif,train
Haryana,Wheat,2023,4.14,Rabi,train
Gujarat,Soybean,2019,1.01,Kharif,train
Haryana,Onion,2017,16.01,Rabi,train
Maharashtra,Cotton,2017,0.59,Kharif,train
Bihar,Gram,2018,1.16,Rabi,train
West Bengal,Bajra,2023,1.27,Kharif,train
Madhya Pradesh,Onion,2022,14.75,Rabi,train
Rajasthan,Bajra,2015,1.32,Kharif,train
Karnataka,Onion,2020,14.94,Rabi,train
Gujarat,Maize,2015,3.48,Kharif,train
Uttar Pradesh,Onion,2023,20.14,Rabi,train
Haryana,Soybean,2024,1.21,Kharif,train
Madhya Pradesh,Gram,2021,1.23,Rabi,train
Gujarat,Mustard,2022,1.39,Rabi,train
West Bengal,Sugarcane,2024,68.87,Rabi,train
Haryana,Onion,2023,17.01,Rabi,train
Uttar Pradesh,Onion,2021,16.63,Rabi,train
Maharashtra,Soybean,2020,1.05,Kharif,train
Andhra Pradesh,Gram,2020,1.22,Rabi,train
Tamil Nadu,Potato,2024,22.47,Rabi,train
Haryana,Mustard,2017,1.55,Rabi,train
Maharashtra,Potato,2020,21.07,Rabi,train
Uttar Pradesh,Sugarcane,2022,69.29,Rabi,train
Uttar Pradesh,Banana,2017,38.21,Rabi,train
Uttar Pradesh,Groundnut,2022,1.4,Kharif,train
Andhra Pradesh,Maize,2016,2.66,Kharif,train
West Bengal,Potato,2023,23.82,Rabi,train
Madhya Pradesh,Onion,2023,13.62,Rabi,train
Gujarat,Wheat,2025,3.12,Rabi,train
Uttar Pradesh,Onion,2016,15.52,Rabi,train
Rajasthan,Tomato,2021,20.66,Rabi,train
West Bengal,Cotton,2016,0.57,Kharif,train
Maharashtra,Bajra,2019,1.11,Kharif,train
Rajasthan,Maize,2018,2.63,Kharif,train
Gujarat,Mustard,2019,1.5,Rabi,train
Karnataka,Onion,2017,19.48,Rabi,train
Bihar,Mustard,2019,1.2,Rabi,train
Maharashtra,Gram,2025,1.25,Rabi,train
Haryana,Wheat,2021,3.16,Rabi,train
Tamil Nadu,Tomato,2020,29.84,Rabi,train
Bihar,Tomato,2018,29.1,Rabi,train
Haryana,Rice,2020,3.04,Kharif,train
Haryana,Jowar,2021,0.85,Kharif,train
Rajasthan,Jowar,2018,1.04,Kharif,train
Karnataka,Tomato,2024,23.12,Rabi,train
Haryana,Gram,2018,0.95,Rabi,train
Rajasthan,Cotton,2025,0.6,Kharif,train
Bihar,Rice,2017,2.32,Kharif,train
Maharashtra,Cotton,2019,0.56,Kharif,train
Bihar,Mustard,2022,1.49,Rabi,train
Gujarat,Sugarcane,2019,69.72,Rabi,train
Rajasthan,Groundnut,2023,1.41,Kharif,train
Haryana,Soybean,2023,1.13,Kharif,train
Bihar,Gram,2023,1.3,Rabi,train
West Bengal,Tomato,2025,21.06,Rabi,train
Karnataka,Bajra,2019,1.07,Kharif,train
Rajasthan,Wheat,2022,3.27,Rabi,train
Uttar Pradesh,Mustard,2024,1.42,Rabi,train
Uttar Pradesh,Groundnut,2019,1.12,Kharif,train
Uttar Pradesh,Cotton,2023,0.46,Kharif,train
Andhra Pradesh,Potato,2025,21.0,Rabi,train
Karnataka,Banana,2023,34.03,Rabi,train
Gujarat,Jowar,2018,1.17,Kharif,train
Rajasthan,Tomato,2018,28.12,Rabi,train
Madhya Pradesh,Sugarcane,2021,78.96,Rabi,train
Tamil Nadu,Maize,2021,3.71,Kharif,train
Maharashtra,Sugarcane,2020,59.94,Rabi,train
Tamil Nadu,Soybean,2022,0.89,Kharif,train
Haryana,Rice,2025,2.96,Kharif,train
West Bengal,Bajra,2018,1.33,Kharif,train
Madhya Pradesh,Groundnut,2024,1.39,Kharif,train
Maharashtra,Banana,2016,41.61,Rabi,train
Andhra Pradesh,Bajra,2018,1.5,Kharif,train
Uttar Pradesh,Rice,2019,2.45,Kharif,train
Andhra Pradesh,Groundnut,2017,1.39,Kharif,train
Bihar,Mustard,2024,1.07,Rabi,train
Gujarat,Wheat,2023,3.85,Rabi,train
Maharashtra,Groundnut,2020,1.64,Kharif,train
Punjab,Wheat,2019,3.11,Rabi,train
West Bengal,Mustard,2021,1.11,Rabi,train
Bihar,Groundnut,2020,1.3,Kharif,train
West Bengal,Wheat,2023,4.05,Rabi,train
Maharashtra,Groundnut,2022,1.38,Kharif,train
Bihar,Gram,2017,0.92,Rabi,train
Uttar Pradesh,Gram,2018,0.89,Rabi,train
Haryana,Cotton,2016,0.56,Kharif,train
West Bengal,Gram,2015,1.16,Rabi,train
Bihar,Bajra,2016,1.25,Kharif,train
Tamil Nadu,Jowar,2024,1.13,Kharif,train
Andhra Pradesh,Jowar,2024,0.93,Kharif,train
Tamil Nadu,Rice,2022,2.22,Kharif,train
Andhra Pradesh,Wheat,2025,3.1,Rabi,train
Gujarat,Potato,2025,27.12,Rabi,train
West Bengal,Jowar,2015,1.2,Kharif,train
Bihar,Mustard,2016,1.38,Rabi,train
Maharashtra,Jowar,2016,1.15,Kharif,train
Punjab,Cotton,2025,0.54,Kharif,train
Haryana,Soybean,2025,1.28,Kharif,train
