class_name,crop,disease,treatment_html,cnn_scannable,split
Tomato___Late_blight,Tomato,Late blight," <b>Crop</b>: Tomato <br/>Disease: Late Blight<br/>

        Late blight is a potentially devastating disease of tomato, infecting leaves, stems and fruits of plants. The disease spreads quickly in fields and can result in total crop failure if untreated.              
        <br/> Cause of disease:

        <br/><br/> 1. Late blight is caused by the oomycete Phytophthora infestans. Oomycetes are fungus-like organisms also called water molds, but they are not true fungi.

        <br/> 2. There are many different strains of P. infestans. These are called clonal lineages and designated by a number code (i.e. US-23). Many clonal lineages affect both tomato and potato, but some lineages are specific to one host or the other.
        <br/> 3. The host range is typically limited to potato and tomato, but hairy nightshade (Solanum physalifolium) is a closely related weed that can readily become infected and may contribute to disease spread. Under ideal conditions, such as a greenhouse, petunia also may become infected.",True,train
Corn_(maize)___Northern_Leaf_Blight,Corn (maize),Northern Leaf Blight," <b>Crop</b>: Corn(maize) <br/>Disease: Northern Leaf Blight
        <br/>
        <br/> Cause of disease:

        <br/><br/>Northern corn leaf blight (NCLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybrids.

        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Management of NCLB can be achieved primarily by using hybrids with resistance, but because resistance may not be complete or may fail, it is advantageous to utilize an integrated approach with different cropping practices and fungicides.

        <br/>2. Scouting fields and monitoring local conditions is vital to control this disease.",True,train
Chilli___Leaf_curl,Chilli,Leaf curl,"<b>Crop</b>: Chilli <br/><b>Disease</b>: Chilli Leaf Curl (virus complex + thrips/mites)<br/><br/>
    <b>Symptoms</b>: Upward curling and crinkling of leaves, shortened internodes, bushy stunted plants, very few small fruits. Often called 'murda' disease.<br/><br/>
    <b>Management</b>:<br/>1. Control thrips and mites — the actual damage agents.<br/>2. Spray Fipronil 2 ml/L for thrips; Spiromesifen 1 ml/L or Dicofol 5 ml/L for mites.<br/>3. Blue and yellow sticky traps.<br/>4. Rogue out severely affected plants.<br/>5. Raise nursery under insect-proof net; use barrier crops like maize.",False,train
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour),Powdery mildew," <b>Crop</b>: Cherry <br/>Disease: Powdery Mildew<br/>
        <br/> Cause of disease:

        <br/><br/>Podosphaera clandestina, a fungus that most commonly infects young, expanding leaves but can also be found on buds, fruit and fruit stems. It overwinters as small, round, black bodies (chasmothecia) on dead leaves, on the orchard floor, or in tree crotches. Colonies produce more (asexual) spores generally around shuck fall and continue the disease cycle.


        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Remove and destroy sucker shoots.

        <br/>2. Keep irrigation water off developing fruit and leaves by using irrigation that does not wet the leaves. Also, keep irrigation sets as short as possible.
        
        <br/>3. Follow cultural practices that promote good air circulation, such as pruning, and moderate shoot growth through judicious nitrogen management.",True,train
Banana___Panama_wilt,Banana,Panama wilt,"<b>Crop</b>: Banana <br/><b>Disease</b>: Panama Wilt / Fusarium Wilt (Fusarium oxysporum f.sp. cubense)<br/><br/>
    <b>Symptoms</b>: Yellowing of older leaves from margins inward, leaves collapse around the pseudostem forming a 'skirt', longitudinal splitting of the pseudostem base, reddish-brown vascular strands inside.<br/><br/>
    <b>Management</b>:<br/>1. Use tissue-culture, disease-free suckers.<br/>2. Grow tolerant varieties where TR4 is present.<br/>3. Soil application of Trichoderma viride 50 g/plant with FYM every 3 months.<br/>4. Carbendazim 2 g/L drench around the base.<br/>5. Improve drainage; avoid moving soil from infected plots.<br/>6. Destroy affected plants completely; do not replant banana immediately.",False,train
Tomato___Early_blight,Tomato,Early blight," <b>Crop</b>: Tomato <br/>Disease: Early Blight<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Early blight can be caused by two different closely related fungi, Alternaria tomatophila and Alternaria solani.
        <br/> 2. Alternaria tomatophila is more virulent on tomato than A. solani, so in regions where A. tomatophila is found, it is the primary cause of early blight on tomato. However, if A.tomatophila is absent, A.solani will cause early blight on tomato.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Use pathogen-free seed, or collect seed only from disease-free plants..

        <br/>2. Rotate out of tomatoes and related crops for at least two years.
        
        <br/>3. Control susceptible weeds such as black nightshade and hairy nightshade, and volunteer tomato plants throughout the rotation.
        <br/>4. Fertilize properly to maintain vigorous plant growth. Particularly, do not over-fertilize with potassium and maintain adequate levels of both nitrogen and phosphorus.
        <br/>5. Avoid working in plants when they are wet from rain, irrigation, or dew.
        <br/>6. Use drip irrigation instead of overhead irrigation to keep foliage dry.",True,train
Mango___Malformation,Mango,Malformation,"<b>Crop</b>: Mango <br/><b>Disorder</b>: Mango Malformation (Fusarium mangiferae)<br/><br/>
    <b>Symptoms</b>: Vegetative malformation gives bunchy shoots with tiny leaves; floral malformation gives compact, highly branched panicles that set no fruit.<br/><br/>
    <b>Management</b>:<br/>1. Prune out malformed panicles and shoots 15-20 cm below the affected part; burn them.<br/>2. Spray NAA 200 ppm in October to reduce floral malformation.<br/>3. Carbendazim 1 g/L spray after pruning.<br/>4. Use healthy grafts from disease-free mother trees.",False,train
Tomato___Target_Spot,Tomato,Target Spot," <b>Crop</b>: Tomato <br/>Disease: Target Spot<br/>
        <br/> Cause of disease:

        <br/><br/> 1. The fungus causes plants to lose their leaves; it is a major disease. If infection occurs before the fruit has developed, yields are low.

        <br/> 2. This is a common disease on tomato in Pacific island countries. The disease occurs in the screen house and in the field.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Remove a few branches from the lower part of the plants to allow better airflow at the base

        <br/>2. Remove and burn the lower leaves as soon as the disease is seen, especially after the lower fruit trusses have been picked.
        
        <br/>3. Keep plots free from weeds, as some may be hosts of the fungus.
        <br/>4. Do not use overhead irrigation; otherwise, it will create conditions for spore production and infection.",True,train
Mango___Hopper,Mango,Hopper,"<b>Crop</b>: Mango <br/><b>Pest</b>: Mango Hopper (Idioscopus spp.)<br/><br/>
    <b>Symptoms</b>: Wedge-shaped insects on panicles; nymphs and adults suck sap causing flower drop. Honeydew leads to sooty mould blackening leaves.<br/><br/>
    <b>Management</b>:<br/>1. Prune for an open canopy; avoid overcrowded orchards.<br/>2. Spray Imidacloprid 0.3 ml/L at panicle emergence.<br/>3. Second spray with Thiamethoxam 0.3 g/L after 15 days if needed.<br/>4. Wash off sooty mould with dilute starch solution.",False,train
Rice___False_smut,Rice,False smut,"<b>Crop</b>: Rice <br/><b>Disease</b>: False Smut (Ustilaginoidea virens)<br/><br/>
    <b>Symptoms</b>: Individual grains replaced by velvety yellow-orange balls that turn greenish-black. Reduces yield and grain quality.<br/><br/>
    <b>Management</b>:<br/>1. Spray Propiconazole 1 ml/L at booting stage (before panicle emergence).<br/>2. Avoid excess nitrogen late in the season.<br/>3. Use clean, certified seed.<br/>4. Collect and destroy smut balls; deep plough after harvest.",False,train
Peach___Bacterial_spot,Peach,Bacterial spot," <b>Crop</b>: Peach <br/>Disease: Bacterial Spot<br/>
        <br/> Cause of disease:

        <br/><br/> 1. The disease is caused by four species of Xanthomonas (X. euvesicatoria, X. gardneri, X. perforans, and X. vesicatoria). In North Carolina, X. perforans is the predominant species associated with bacterial spot on tomato and X. euvesicatoria is the predominant species associated with the disease on pepper.

        <br/> 2. All four bacteria are strictly aerobic, gram-negative rods with a long whip-like flagellum (tail) that allows them to move in water, which allows them to invade wet plant tissue and cause infection.


        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. The most effective management strategy is the use of pathogen-free certified seeds and disease-free transplants to prevent the introduction of the pathogen into greenhouses and field production areas. Inspect plants very carefully and reject infected transplants- including your own!

        <br/>2. In transplant production greenhouses, minimize overwatering and handling of seedlings when they are wet.
        
        <br/>3. Trays, benches, tools, and greenhouse structures should be washed and sanitized between seedlings crops.
        <br/>4. Do not spray, tie, harvest, or handle wet plants as that can spread the disease.",True,train
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider mites Two-spotted spider mite," <b>Crop</b>: Tomato <br/>Disease: Two-spotted spider mite<br/>
        <br/> Cause of disease:

        <br/><br/> 1. The two-spotted spider mite is the most common mite species that attacks vegetable and fruit crops.

        <br/> 2. They have up to 20 generations per year and are favored by excess nitrogen and dry and dusty conditions.
        <br/> 3. Outbreaks are often caused by the use of broad-spectrum insecticides which interfere with the numerous natural enemies that help to manage mite populations. 
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Avoid early season, broad-spectrum insecticide applications for other pests.

        <br/>2. Do not over-fertilize
        
        <br/>3. Overhead irrigation or prolonged periods of rain can help reduce populations.",True,train
Wheat___Brown_rust,Wheat,Brown rust,"<b>Crop</b>: Wheat <br/><b>Disease</b>: Brown / Leaf Rust (Puccinia triticina)<br/><br/>
    <b>Symptoms</b>: Round to oval orange-brown pustules scattered randomly on the upper leaf surface (not in stripes).<br/><br/>
    <b>Management</b>:<br/>1. Resistant varieties and timely sowing.<br/>2. Spray Propiconazole 1 ml/L or Mancozeb 2.5 g/L.<br/>3. Remove volunteer wheat plants that carry the fungus between seasons.",False,train
Strawberry___Leaf_scorch,Strawberry,Leaf scorch," <b>Crop</b>: Strawberry <br/>Disease: Leaf Scorch<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Scorched strawberry leaves are caused by a fungal infection which affects the foliage of strawberry plantings. The fungus responsible is called Diplocarpon earliana.

        <br/> 2. Strawberries with leaf scorch may first show signs of issue with the development of small purplish blemishes that occur on the topside of leaves.

        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Since this fungal pathogen over winters on the fallen leaves of infect plants, proper garden sanitation is key.

        <br/>2. This includes the removal of infected garden debris from the strawberry patch, as well as the frequent establishment of new strawberry transplants.
        
        <br/>3. The avoidance of waterlogged soil and frequent garden cleanup will help to reduce the likelihood of spread of this fungus.",True,train
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize),Cercospora leaf spot Gray leaf spot," <b>Crop</b>: Corn <br/>Disease: Grey Leaf Spot<br/>
        <br/> Cause of disease:

        <br/><br/>Gray leaf spot lesions on corn leaves hinder photosynthetic activity, reducing carbohydrates allocated towards grain fill. The extent to which gray leaf spot damages crop yields can be estimated based on the extent to which leaves are infected relative to grainfill. Damage can be more severe when developing lesions progress past the ear leaf around pollination time.	Because a decrease in functioning leaf area limits photosynthates dedicated towards grainfill, the plant might mobilize more carbohydrates from the stalk to fill kernels.


        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. In order to best prevent and manage corn grey leaf spot, the overall approach is to reduce the rate of disease growth and expansion.

        <br/>2. This is done by limiting the amount of secondary disease cycles and protecting leaf area from damage until after corn grain formation.
        
        <br/>3. High risk factors for grey leaf spot in corn: <br/>
                    a.	Susceptible hybrid
                    b.	Continuous corn
                    c.	Late planting date
                    d.	Minimum tillage systems
                    e.	Field history of severe disease
                    f.	Early disease activity (before tasseling)
                    g.	Irrigation
                    h.	Favorable weather forecast for disease.",True,train
Banana___Sigatoka_leaf_spot,Banana,Sigatoka leaf spot,"<b>Crop</b>: Banana <br/><b>Disease</b>: Sigatoka Leaf Spot (Mycosphaerella spp.)<br/><br/>
    <b>Symptoms</b>: Small yellow streaks that enlarge into elongated brown spots with grey centres and yellow halos; heavy infection dries the whole canopy and fruits ripen prematurely.<br/><br/>
    <b>Management</b>:<br/>1. Remove and destroy affected leaves regularly.<br/>2. Maintain proper spacing and drainage.<br/>3. Spray Propiconazole 1 ml/L or Mancozeb 2.5 g/L with sticker, at 3-4 week intervals.<br/>4. Alternate fungicide groups to avoid resistance.<br/>5. Avoid overhead irrigation.",False,train
Sugarcane___Red_rot,Sugarcane,Red rot,"<b>Crop</b>: Sugarcane <br/><b>Disease</b>: Red Rot (Colletotrichum falcatum)<br/><br/>
    <b>Symptoms</b>: Drying of the 3rd-4th leaf from top, split cane shows reddened internal tissue with white crossbars, sour alcoholic smell.<br/><br/>
    <b>Management</b>:<br/>1. Use resistant varieties; this is the primary control.<br/>2. Set treatment in Carbendazim 0.1% for 10 minutes before planting.<br/>3. Moist hot air treatment of setts (54°C, 4 hours).<br/>4. Rogue out and burn affected clumps with roots.<br/>5. Crop rotation with rice; avoid ratooning infected fields.",False,train
Wheat___Powdery_mildew,Wheat,Powdery mildew,"<b>Crop</b>: Wheat <br/><b>Disease</b>: Powdery Mildew (Blumeria graminis)<br/><br/>
    <b>Symptoms</b>: White powdery fluffy growth on leaves and sheaths, later turning grey with small black dots.<br/><br/>
    <b>Management</b>:<br/>1. Avoid excess nitrogen and very dense crop.<br/>2. Spray wettable Sulphur 2 g/L or Propiconazole 1 ml/L.<br/>3. Ensure good field ventilation.",False,train
Cotton___Bollworm,Cotton,Bollworm,"<b>Crop</b>: Cotton <br/><b>Pest</b>: Bollworm complex (American, Pink, Spotted)<br/><br/>
    <b>Symptoms</b>: Round bore holes in squares and bolls, shed flowers, damaged lint. Pink bollworm causes rosette flowers and internal seed damage.<br/><br/>
    <b>Management</b>:<br/>1. Install pheromone traps @ 5/ha; monitor weekly.<br/>2. Grow Bt cotton, but maintain a refuge of non-Bt.<br/>3. Release Trichogramma chilonis @ 1.5 lakh/ha.<br/>4. Neem seed kernel extract 5% at early stage.<br/>5. Chemical: Emamectin benzoate 0.4 g/L or Spinosad 0.3 ml/L only when ETL is crossed.<br/>6. Destroy crop residue; avoid extending the crop beyond season.",False,train
"Pepper,_bell___healthy","Pepper, bell",healthy," <b>Crop</b>: Pepper <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
Mango___Powdery_mildew,Mango,Powdery mildew,"<b>Crop</b>: Mango <br/><b>Disease</b>: Powdery Mildew (Oidium mangiferae)<br/><br/>
    <b>Symptoms</b>: White powdery coating on flower panicles, young fruit and leaves; heavy flower drop and poor fruit set. Major cause of yield loss in a dry, cool flowering season.<br/><br/>
    <b>Management</b>:<br/>1. Spray wettable Sulphur 2 g/L at panicle emergence.<br/>2. Follow with Hexaconazole 1 ml/L or Dinocap 1 ml/L 15 days later.<br/>3. Do not spray sulphur when temperature is above 35°C.<br/>4. Three sprays: panicle emergence, full bloom, pea-sized fruit.",False,train
Rice___Sheath_blight,Rice,Sheath blight,"<b>Crop</b>: Rice <br/><b>Disease</b>: Sheath Blight (Rhizoctonia solani)<br/><br/>
    <b>Symptoms</b>: Oval greenish-grey water-soaked lesions on the sheath near the water line, later becoming straw coloured with brown borders; spreads upward, grains fail to fill.<br/><br/>
    <b>Management</b>:<br/>1. Avoid dense planting; keep proper spacing for airflow.<br/>2. Balanced NPK; avoid excess nitrogen.<br/>3. Spray Hexaconazole 5EC @ 2 ml/L or Validamycin 3L @ 2 ml/L.<br/>4. Apply Trichoderma viride to soil at 2.5 kg/ha with FYM.<br/>5. Remove infected stubble after harvest.",False,train
Potato___Early_blight,Potato,Early blight," <b>Crop</b>: Potato <br/>Disease: Early Blight<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Early blight (EB) is a disease of potato caused by the fungus Alternaria solani. It is found wherever potatoes are grown. 

        <br/> 2. The disease primarily affects leaves and stems, but under favorable weather conditions, and if left uncontrolled, can result in considerable defoliation and enhance the chance for tuber infection. Premature defoliation may lead to considerable reduction in yield.

        <br/> 3. Primary infection is difficult to predict since EB is less dependent upon specific weather conditions than late blight.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Plant only diseasefree, certified seed. 

        <br/>2. Follow a complete and regular foliar fungicide spray program.
        
        <br/>3. Practice good killing techniques to lessen tuber infections.
        <br/>4. Allow tubers to mature before digging, dig when vines are dry, not wet, and avoid excessive wounding of potatoes during harvesting and handling.",True,train
Rice___Bacterial_leaf_blight,Rice,Bacterial leaf blight,"<b>Crop</b>: Rice <br/><b>Disease</b>: Bacterial Leaf Blight (Xanthomonas oryzae)<br/><br/>
    <b>Symptoms</b>: Water-soaked yellow stripes from leaf tips and margins that turn straw-white; leaves dry from the tip downwards. In seedlings (kresek) whole plants wilt.<br/><br/>
    <b>Favourable conditions</b>: Heavy rain, flooding, wind damage, high nitrogen.<br/><br/>
    <b>Management</b>:<br/>1. Use resistant varieties carrying Xa21.<br/>2. Drain the field; avoid deep standing water.<br/>3. Stop nitrogen top dressing during an outbreak.<br/>4. Spray Streptocycline 300 ppm + Copper oxychloride 3 g/L.<br/>5. Avoid clipping seedling tips at transplanting.",False,train
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf blight (Isariopsis Leaf Spot),<b> Crop</b> : Grape <br/> Disease: Leaf Spot,True,train
Cabbage___Diamondback_moth,Cabbage,Diamondback moth,"<b>Crop</b>: Cabbage / Cauliflower <br/><b>Pest</b>: Diamondback Moth (Plutella xylostella)<br/><br/>
    <b>Symptoms</b>: Small green larvae scrape leaf tissue leaving papery windows, then irregular holes; heads are damaged and contaminated with frass.<br/><br/>
    <b>Management</b>:<br/>1. Grow mustard as a trap crop (2 rows for every 25 rows of cabbage).<br/>2. Spray Bacillus thuringiensis 1 g/L — safe and effective.<br/>3. Release Diadegma semiclausum parasitoid.<br/>4. Spinosad 0.3 ml/L; rotate chemistry, this pest resists insecticides quickly.<br/>5. Avoid continuous cole crop cultivation.",False,train
Apple___healthy,Apple,healthy," <b>Crop</b>: Apple <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
"Pepper,_bell___Bacterial_spot","Pepper, bell",Bacterial spot," <b>Crop</b>: Pepper <br/>Disease: Bacterial Spot<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Bacterial spot is caused by several species of gram-negative bacteria in the genus Xanthomonas.

        <br/> 2. In culture, these bacteria produce yellow, mucoid colonies. A ""mass"" of bacteria can be observed oozing from a lesion by making a cross-sectional cut through a leaf lesion, placing the tissue in a droplet of water, placing a cover-slip over the sample, and examining it with a microscope (~200X)..
        
        
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. The primary management strategy of bacterial spot begins with use of certified pathogen-free seed and disease-free transplants.

        <br/>2. The bacteria do not survive well once host material has decayed, so crop rotation is recommended. Once the bacteria are introduced into a field or greenhouse, the disease is very difficult to control.
        
        <br/>3. Pepper plants are routinely sprayed with copper-containing bactericides to maintain a ""protective"" cover on the foliage and fruit.",True,train
Rice___Blast,Rice,Blast,"<b>Crop</b>: Rice <br/><b>Disease</b>: Rice Blast (Pyricularia oryzae)<br/><br/>
    <b>Symptoms</b>: Diamond/spindle-shaped lesions with grey centres and brown margins on leaves. Neck blast blackens the panicle base causing whiteheads and empty grain.<br/><br/>
    <b>Favourable conditions</b>: 25-28°C, high humidity above 90%, excess nitrogen, prolonged leaf wetness.<br/><br/>
    <b>Management</b>:<br/>1. Grow resistant varieties (IR64, Tetep-derived lines).<br/>2. Avoid excess nitrogen; apply N in 3 splits.<br/>3. Spray Tricyclazole 75WP @ 0.6 g/L at boot leaf and again at heading.<br/>4. Carbendazim 50WP @ 1 g/L as an alternative.<br/>5. Treat seed with Carbendazim 2 g/kg before sowing.",False,train
Corn_(maize)___Common_rust_,Corn (maize),Common rust ," <b>Crop</b>: Corn(maize) <br/>Disease: Common Rust<br/>
        <br/> Cause of disease:

        <br/><br/>Common corn rust, caused by the fungus Puccinia sorghi, is the most frequently occurring of the two primary rust diseases of corn in the U.S., but it rarely causes significant yield losses in Ohio field (dent) corn. Occasionally field corn, particularly in the southern half of the state, does become severely affected when weather conditions favor the development and spread of rust fungus

        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Although rust is frequently found on corn in Ohio, very rarely has there been a need for fungicide applications. This is due to the fact that there are highly resistant field corn hybrids available and most possess some degree of resistance.

        <br/>2. However, popcorn and sweet corn can be quite susceptible. In seasons where considerable rust is present on the lower leaves prior to silking and the weather is unseasonably cool and wet, an early fungicide application may be necessary for effective disease control. Numerous fungicides are available for rust control. ",True,train
Mango___Anthracnose,Mango,Anthracnose,"<b>Crop</b>: Mango <br/><b>Disease</b>: Anthracnose (Colletotrichum gloeosporioides)<br/><br/>
    <b>Symptoms</b>: Black irregular spots on leaves, blossom blight causing flower drop, and sunken dark lesions on fruit that expand during ripening and storage.<br/><br/>
    <b>Management</b>:<br/>1. Prune to open the canopy; remove dead twigs and mummified fruits.<br/>2. Spray Carbendazim 1 g/L at flowering and again at fruit set.<br/>3. Copper oxychloride 3 g/L after harvest pruning.<br/>4. Post-harvest hot water dip (52°C for 5 min) reduces storage rot.",False,train
Cherry_(including_sour)___healthy,Cherry (including sour),healthy," <b>Crop</b>: Cherry <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
