crop,temperature,rainfall,soil,ph,season,how_to_grow,split
grape,15-35°C,500-800 mm (dry best),Well-drained sandy loam,6.5-7.5,Prune Oct (fruiting) & Apr (foundation),Train on pandal system at 3x3 m. Double pruning in India. Girdling + GA3 improves berry size. Harvest at 18-20 Brix sweetness.,train
coconut,27-32°C,1300-2300 mm,"Coastal sandy or laterite, well-drained",5.2-8.0,Plant May-Jun or Sep-Oct,"Plant 8 m apart in 1 m pits with FYM. Apply 500g N, 320g P, 1200g K/palm/year. Irrigate 100 L/palm/week in summer. Bears from year 6-8.",train
mango,24-30°C,750-2500 mm,"Deep alluvial or laterite, well-drained",5.5-7.5,Plant Jul-Aug; flowers Dec-Feb,Plant grafts 10x10 m. No irrigation during flowering. Spray 2% KNO3 to induce flowering. Bag fruits against fruit fly. Harvest with stalk.,train
apple,21-24°C,1000-1250 mm,"Loamy, rich in organic matter, well-drained",5.5-6.5,Needs 1000-1500 chilling hours; hill regions,Plant 1-year grafts in Jan-Feb at 3x3 m. Thin fruits to 1 per cluster. Harvest 130-135 days after bloom.,train
bean,16-30°C,400-500 mm,Well-drained sandy loam,6.0-7.0,Kharif and Rabi; frost-sensitive,Sow 25-30 kg/ha at 30x10 cm. Fixes own nitrogen — only starter dose needed. Support climbing types. Pick tender pods every 3-4 days.,train
black_gram,25-35°C,600-800 mm,"Loam to clay loam, moisture-retentive",6.5-7.8,Kharif (Jun-Jul) and summer,Sow 15-20 kg/ha at 30x10 cm. Treat seed with Rhizobium. Hoe at 25 days. Harvest when 80% pods blacken (70-90 days).,train
banana,26-30°C,1700-2500 mm,"Deep, rich loamy soil with good drainage",6.5-7.5,Year-round in tropics; avoid frost,"Plant tissue-culture saplings 1.8x1.8 m. Apply 300g N, 100g P, 300g K per plant/year. Keep one sucker as follower. Bunch matures in 11-12 months.",train
rice,22-32°C,1000-2000 mm,Clay or clay loam that holds water,5.5-6.5,Kharif main; Rabi where irrigated,Transplant 25-30 day seedlings 20x15 cm. Keep 2-5 cm standing water. N in 3 splits. Drain 10 days before harvest at 80% golden grains.,train
barley,12-25°C,400-500 mm,"Sandy loam to loam, tolerates salinity",6.5-8.0,Rabi (Oct-Nov sowing),"Sow 100 kg seed/ha at 22 cm rows. 2-3 irrigations: crown root, flowering, grain fill. Harvest Mar-Apr.",train
potato,15-25°C (tubers 17-19°C),500-700 mm,Friable sandy loam rich in humus,5.2-6.4,Rabi (Oct-Nov planting),"Plant certified tubers 60x20 cm, 5 cm deep. Earth up at 25-30 days. Critical water at tuber initiation. Cut haulms 10 days before digging.",train
sugarcane,26-32°C,1100-1500 mm,"Deep rich loam, well-drained",6.5-7.5,Plant Jan-Mar or Oct,Plant 3-bud setts in 90 cm furrows. Earth up at 90-120 days against lodging. Trash mulch saves moisture. Harvest at peak sugar (~12 months).,train
onion,13-24°C,650-750 mm,"Friable loam, non-crusting",6.0-7.5,Rabi main; Kharif in some regions,Transplant 45-day seedlings at 15x10 cm. Light frequent irrigation (shallow roots). Stop water when 50% tops fall. Cure 3-5 days before storing.,train
wheat,14-25°C,450-650 mm,Well-drained loam or clay loam,6.0-7.5,Rabi (Nov 1-20 optimal),"Sow 100 kg/ha at 20-22 cm rows. First irrigation at 21 days (crown root) is most critical. Harvest at hard dough, ~12% moisture.",train
papaya,22-32°C,1000-2000 mm,"Rich sandy loam, perfect drainage",6.0-7.0,Plant Jun-Sep or Feb-Mar; frost-free,Plant 2-month seedlings at 1.8x1.8 m. Ring irrigation — water must not touch stem. Fruits from 9-10 months.,val
cabbage,15-21°C,380-500 mm,Fertile loam rich in humus,6.0-6.8,Winter (Sep-Nov transplant),Transplant 4-week seedlings at 45x45 cm. Keep moisture steady to stop head splitting. Top-dress N at 30 days. Harvest firm heads.,val
chilli,20-30°C,600-1250 mm,Well-drained loamy soil,6.0-7.0,Kharif and summer,Transplant 35-40 day seedlings at 60x45 cm. Mulch to hold moisture. Watch thrips & mites (leaf curl). Pick green or red-ripe for drying.,val
cucumber,18-30°C,400-600 mm,Sandy loam rich in organic matter,6.0-7.0,Summer and Kharif,Sow 2-3 seeds/hill at 1.5x0.6 m. Trellis for straight fruits. Irrigate every 4-5 days. Pick tender fruits every 2 days.,test
orange,13-37°C,1000-1200 mm,"Deep sandy loam, well-drained",5.5-7.5,Plant Jun-Aug,Plant budded plants 6x6 m. Bahar treatment: withhold water 30-40 days to set flowering. Foliar spray Zn & Fe. Harvest at colour break.,test
brinjal,22-30°C,600-1000 mm,Fertile sandy loam with organic matter,5.5-6.8,Year-round; avoid severe cold,Transplant 30-day seedlings at 60x60 cm. Apply FYM 25 t/ha. Use pheromone traps for shoot & fruit borer. Pick glossy fruits.,test
